"","lon","lat","location"
"1","-91.1871466","30.4514677","Baton Rouge, United States"
"2","-2.3596827","51.3781018","Bath, United Kingdom"
"3","138.6007456","-34.9284989","Adelaide, Australia"
"4","-8.6291053","41.1579438","Porto, Portugal"
"5","18.4240553","-33.9248685","Cape Town, South Africa"
"6","36.8219462","-1.2920659","Nairobi, Kenya"
"7","-74.072092","4.7109886","Bogotá, Colombia"
"8","-46.6395571","-23.5557714","São Paulo, Brazil"
"9","-75.6971931","45.4215296","Ottawa, Canada"
"10","117.199369","39.085099","Tianjin, China"
"11","77.5945627","12.9715987","Bangalore, India"
"12","24.938379","60.1698557","Helsinki, Finland"
"13","6.6322734","46.5196535","Lausanne, Switzerland"
"14","170.5005957","-45.8795455","Dunedin, New Zealand"
"15","-48.5569286","-27.5948036","Florianópolis, Brazil"
"16","14.4378005","50.0755381","Prague, Czech Republic"
"17","115.861309","-31.9523123","Perth, Australia"
"18","153.0260341","-27.4704528","Brisbane, Australia"
"19","144.9630576","-37.8136276","Melbourne, Australia"
"20","147.3257196","-42.8826055","Hobart, Australia"
"21","130.8444446","-12.4637333","Darwin, Australia"
"22","151.2092955","-33.8688197","Sydney, Australia"
"23","149.1310038","-35.2801903","Canberra, Australia"
"24","-3.7037902","40.4167754","Madrid, Spain"
"25","22.4439369","60.3627914","Southwest Finland, Finland"
"26","-5.9844589","37.3890924","Seville, Spain"
"27","-3.5984368","37.1774605","Granada, Spain"
"28","-98.4945922","29.4251905","San Antonio, United States"
"29","-3.7037902","40.4167754","Madrid, Morocco"
"30","24.96676","45.943161","Madrid, Romania"
"31","-3.6370872","40.4554988","Madrid, Ukraine"
"32","151.3558797","-32.8321587","Cessnock, Australia"
"33","149.0564849","-35.3368882","Weston, Australia"
"34","146.921099","-31.2532183","Nsw, Australia"
"35","151.3972563","-32.8570261","Kearsley, Australia"
"36","151.4315929","-32.8108251","Abermain, Australia"
"37","151.3787657","-32.8450848","Aberdare, Australia"
"38","151.7044289","-32.902924","North lambton, Australia"
"39","151.6811029","-32.9248628","Rankin park, Australia"
"40","151.6290246","-32.9354295","Argenton, Australia"
"41","151.6811029","-32.9248628","Rankin Park, Australia"
"42","151.6970607","-32.9247631","New lambton heights, Australia"
"43","143.5496227","-18.2898695","Georgetown, Australia"
"44","151.6696167","-32.9031005","Wallsend, Australia"
"45","151.4797989","-32.9040174","Mulbring, Australia"
"46","151.665178","-32.9173208","Elermore vale, Australia"
"47","151.8607835","-28.7665766","Fletcher, Australia"
"48","150.7811933","-33.7978502","St Clair, Australia"
"49","150.6696793","-33.7867494","Glenmore Park, Australia"
"50","150.7810671","-33.731559","Ropes Crossing, Australia"
"51","151.5946034","-32.9303374","Barnsley, Australia"
"52","150.7734575","-33.769979","St marys, Australia"
"53","150.792661","-33.7785933","Colyton, Australia"
"54","150.7956878","-33.7441358","Tregear, Australia"
"55","150.7811933","-33.7978502","st clair, Australia"
"56","150.7734575","-33.769979","st marys, Australia"
"57","150.7811933","-33.7978502","Saint Clair, Australia"
"58","151.6970607","-32.9247631","New Lambton Heights, Australia"
"59","150.792661","-33.7785933","colyton, Australia"
